D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.1.1.42	54768.66	55488.41	52632.83	52282.46	55565.22	15116.43	50867.76	52632.8	63927.93	49881.31	70880.3	33501.25	74567.41	45821.6	54400.38	45560.17	52885.36	44595.77	64797.36	62319.02	36464.39	46957.67	45291.05	69533.49	35318.7
EC:1.1.1.44	36497.36	40224.63	45033.59	38864.49	45451.14	14798.79	51723.04	57711.85	15276.81	48852.33	75297.95	38745.88	68267.77	63908.27	92822.67	52634.96	46615.51	46564.62	65412.37	63010	91009.26	50732.83	47904.77	42179.73	29360.3
EC:1.1.1.47	1699.4	1624	5600.8	1914.8	6522.8	3231.2	5514.9	5750	1233.8	2277.5	5347.9	4310.2	7155.3	18073.4	22489.77	10505.7	2496.3	2103.5	4417.3	2521.6	1723.2	2118.7	1381.5	1629.1	1530.6
EC:1.1.1.49	31603.79	36253.46	33440.04	26408.36	38616.67	12245.01	40269.23	48939.35	12062.76	39492.25	69663.8	32801.6	53578.38	47237.79	67130.32	40347.93	34303.21	34339.78	45568.4	49568.07	49256.56	45865.13	44539.59	29504.29	24915.17
EC:1.1.1.53	0	103	0	700	0	0	0	0	54	99	94	59	0	0	0	0	0	197	0	0	0	0	0	0	0
EC:1.1.1.56	58.5	126.12	29.95	0	72.08	0	324.75	1160.29	0	0	44	0	72.5	312.55	263.38	61.92	519.42	699.79	941.29	72	0	60.67	16.25	122.55	0
EC:1.1.1.57	25075.5	28844.13	13557.45	15587.07	16671.41	8990	14258.09	27708.33	27759.67	17983.66	7541.33	13349	29555.6	37682.55	47845.65	37178.79	27355.09	21023.46	43521.46	37593.83	20420.26	10183.5	6613.28	30534.52	13279.03
EC:1.1.1.58	28264.03	32284.11	17602.74	16635.2	32452.51	9392.64	18286.25	35334.12	20302.12	28471.2	13053.37	30165.2	41411.85	44885.02	58100.76	43519.19	25692.77	24412.42	46732.19	37353.06	29018.49	24934.95	22156.56	24566.66	18887.5
EC:1.1.1.6	40174.79	38928.68	33381.39	33659.38	37613.11	12151.92	32666.99	50580.4	45117.11	27199.09	13384.82	27378.55	57170.16	47150.63	59654.83	47350.96	51170.73	44325.01	88903.59	54015.42	44280.99	15453.52	15210.94	34390.2	22258.86
EC:1.1.1.60	23591.02	26008.59	14017.16	32652.01	24501.98	8125.56	14145.46	27632.11	33179.13	20287.97	7515.97	11883.92	50326.99	23521.53	27958.73	27623.11	27287.96	17364.95	34749.3	34574.54	40489.41	20052.9	16260.41	20638.68	16518.76
EC:1.1.1.61	1734.45	1452.13	2527.07	2382.27	6589.67	1201.36	1769.1	3611.73	1669.92	1695.24	799.31	1193.92	21858.69	2982.25	3904.08	6467.86	1956.38	1765.49	5668.14	2534.94	38514.48	2266.1	979.08	3595.66	2557.56
EC:1.1.1.67	1525.6	1033.8	3001.9	3328.5	8723.7	324.9	1062.2	3060	467.3	5191.5	554.7	11956.2	9433.9	1745.6	4491.3	1631.2	1083.8	2064.9	3868.2	1255	4832.8	1041	758.6	1920.1	1424.6
EC:1.1.1.69	28144.22	29185.49	25175.2	21423.87	39551.3	8220.91	27868.46	38355.86	39582.05	24513.06	13766.04	27181.2	38990.45	38954.5	44058.96	39160.01	33766.69	23216.96	66620.83	21895.03	18613.82	22536.34	22216.13	27551.6	17781.66
EC:1.1.1.76	6531.23	6384.91	10415.68	2698.6	9843.81	5330.6	4008.89	6512.51	1294.52	1009.2	12820.63	1660	15165.8	7928.48	4246.97	1192.02	5457.15	5845.46	5174.82	3038.13	19599.53	5758.07	4746.58	7161.49	5045.1
EC:1.1.1.77	53676.56	54833.15	51407.22	53058.6	52284.67	14503.98	54634.96	64229.59	70004.16	48028.86	58515.96	42560.57	61540.1	57728.3	74512.39	56709.94	55925.5	53360.45	86077.61	66185.22	38449.61	33022.36	34744.19	52788.69	33055.33
EC:1.1.1.79	11122.67	15558.63	1938.61	2746	5585.08	4556	6755.59	13535.45	2693.67	10112.66	2726.83	6537.67	14473	15418.72	21199.05	17019.92	11873.42	11128.13	17290.46	27686.16	14929.33	5572	3018.58	8545.72	7367.17
EC:1.1.1.81	13239.37	18161.46	4879.01	4823.67	7731.94	5515.6	9199.89	15132.35	12681.94	13737.53	5017.33	7758	18020.1	17733.09	23186.05	21446.99	14518.09	12642.13	20801.23	29099.13	16459.33	16826.74	14095.98	11968.89	9867.5
EC:1.1.1.83	11321.67	15616.96	3506.28	3108.67	6491.41	4604	7945.59	13879.12	2879.34	10311.33	2854.83	6602	15775	15608.72	21012.05	17109.92	12019.42	11292.46	17515.46	27834.83	15086.33	5672.67	3111.58	8856.72	7529
EC:1.1.1.85	64182.69	65409.32	61932.45	58404.85	67798.09	17402.11	60067.06	69306.53	79748.94	55430.51	75707.63	44223.17	93857.43	53220.89	63797.96	54091.48	68349.03	65553.35	108163.04	69562.15	59692.39	61206.99	62151.86	77864.07	42561.12
EC:1.1.1.86	70468.52	71826.82	76403.04	69710.18	71260.43	18343.03	78055.47	73225.36	83878.36	62666.09	115992.88	46069.92	91339.51	55400.31	69602.21	54261.81	73698.86	72560.68	104542.21	83129.65	62244.56	65975.32	73140.61	84739.9	45844.62
EC:1.1.1.87	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.1.1.88	5070.66	4668.29	5843.5	2701.1	6216.1	3903.73	6002.77	6660.93	1607.86	4300.7	12164.58	4772.67	9975.62	18817.2	23313.8	11432.68	8288.4	7770.6	13546.13	2806.4	2035.6	2970.57	2990.16	5759.27	2596.37
EC:1.1.1.9	3241.5	2292	9299.25	8624.5	1580.5	489.25	7317.25	1451	1204.25	6435.25	3731.25	1276.75	4512.25	1330.75	3272.75	1817	4905.5	5817.5	2156	9876	1982.5	1020	1501.75	5339.5	2575.5
EC:1.1.1.90	212.5	499.12	245.95	1921	400.58	750.5	3056.75	1596.58	367	462	1168.25	205	212.25	429.55	446.38	242.17	749.42	1366.79	1113.29	326	140	148.67	353.25	358.55	136
EC:1.1.1.91	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.93	11321.67	15616.96	3506.28	3108.67	6491.41	4604	7945.59	13879.12	2879.34	10311.33	2854.83	6602	15775	15608.72	21012.05	17109.92	12019.42	11292.46	17515.46	27834.83	15086.33	5672.67	3111.58	8856.72	7529
EC:1.1.1.94	65746.24	67243.69	67163.47	62698.67	75815.76	20916.43	68825.44	82083.89	81262.93	61471.87	82183.84	52477.12	96591.36	83929.99	107696.65	75513.93	74773.2	70238.18	122357.42	75785.99	81485.99	55686.11	59130.6	84739.09	41911.23
EC:1.1.1.95	92118.17	94883.65	93285.42	86305.81	109704.77	28419.07	84094.92	110509.08	134074.06	76233.8	85568.26	64372.28	176287.57	90411.64	108499.35	94147.98	104509.13	104936.31	209763.35	98106.55	240762.15	76748.64	73098.31	124498.97	61714.22
EC:1.1.2.3	11107.67	15549.96	1927.28	2749.67	4942.41	4552	6770.59	13553.12	2758.34	10110.33	2720.83	6533	12548	15391.72	21199.05	17037.92	11889.42	11134.46	17301.46	27681.83	14937.33	5578.67	3023.58	8559.22	7356.5
